blocker_id	severity	current_signal	surface_blocked	next_route	owner_needed	codecaptain_needed	exit_gate
B003_physical_stock_snapshot_stale	STOP	PO dashboard stock snapshot stale, stock_date 2026-05-04 vs cutoff 2026-05-17; Phase20 owner fact says no fresher physical stock source currently exists	PO/SKU Daily, stock actions, PO commitment	Keep as retained blocker; offer availability cannot clear this; do not ask again unless the owner creates a new stock source/export or wants substitute contract review	no unless new source/export or substitute contract is requested	no unless substitute or capital-risk override	validate_po_dashboard_invariants and stock freshness pass with accepted fresh stock source or affected stock/PO outputs remain blocked
B004_universal_storeb_order_entry_identity	COPIED-TEMP CLOSED / STOP FOR PRODUCTION	Universal offer identity and five STOREB source-backed rows close in copied-temp; Agent14 now explicitly retains Universal 922898360 and 923528055 through copied-temp no-real-entry quarantine with 0 inserted rows	Sales truth, profit, stock depletion, workbook anchor	Package copied-temp identity plus no-real-entry quarantine decision for CodeCaptain; production remains blocked until review	no	yes before production preflight	validate_order_entries_freshness and strict sales rebuild pass with retained conflicts visibly blocked; production route requires CodeCaptain review
B005_workbook_content_lag	COPIED-TEMP CLOSED / STOP FOR PRODUCTION	Workbook anchor is not date-lagged; Agent8/Agent12 Phase 3 proof accepted 8353 workbook-anchor rows into fact_sales_workbook_anchor on a copied DB and validate_sales_vs_workbook_anchor passes for 2026-05-18 and 2026-05-22	Sales/workbook anchor trust, workbook-dependent owner surfaces	Keep copied-temp sidecar closure visible; production route requires later backup-first owner-approved write gate and CodeCaptain review	no	yes before production preflight	CodeCaptain accepts copied-temp workbook-anchor sidecar closure or validate_sales_vs_workbook_anchor passes under a later reviewed production route; affected production outputs remain blocked until reviewed
B006_single_truth_system	COPIED-TEMP CLOSED / STOP FOR PRODUCTION	Agent13 copied-temp proof generated an evidence-local dashboard from the same copied DB and validate_single_truth_system passed with po_part scope contract; previous missing DB part ids and PO-4.0 lifecycle/weight mismatch are closed in copied-temp only	PO money, dashboard trust, production preflight	Package copied-temp closure for CodeCaptain; no production preflight/apply until retained B007/B008 and review clear	no	yes before production preflight or apply	validate_single_truth_system passes for declared copied-temp scope and protected surfaces unchanged
B007_single_truth_alignment	STOP	Agent13 evidence-local dashboard removes missing-pos-data and PO-4.0 qty mismatches; alignment passes only with --skip-drift after current PLAN-0 anchor override, while full validation still fails physical-stock inventory cost drift: snapshot_date 2026-05-04, diff 16835338.88 KZT vs allowed 803909.74 KZT	PO money, dashboard trust, production preflight	Keep physical-stock drift as retained blocker; CodeCaptain review needed for any substitute stock/capital-risk contract	no fresher stock source exists per owner	yes for substitute source/capital-risk or production preflight	validate_single_truth_alignment passes without skip-drift from accepted physical stock authority
B008_po_money_gate	STOP	Agent13 copied-temp po_money_gate passes anchor_health, inbound_sheet_consistency, single_truth_system, and cogs_integrity; Agent16 materialized fact_offer_stock_mapper_current on a copied DB only; Phase27 copied DB makes po_source_truth PASS after src_inbound_workbook freshness materialization, but required PO-money failure remains single_truth_alignment physical-stock drift	PO commitment, capital-risk decisions	Do not claim PO money green; resolve/contract B007 physical-stock drift before PO commitment; optional offer-linkage repair is now a precise future lane rather than a missing-table blocker	no fresher stock source exists per owner	yes for production preflight/apply or capital-risk override	validate_po_money_gate ok=true with no required failures; if strict offer linkage is required, validate_offer_linkage must pass with 0 unresolved, 0 ambiguous, and 0 missing bidirectional rows
B009_high_stock_retained_exceptions	QUARANTINE/STOP	9 high stock exceptions retained and visible	Stock/PO trust, owner warnings	Keep visible; clear only with source or warehouse proof	conditional	no	Exception queue valid and retained board shows zero or accepted visible retained rows
B010_dirty_repo_state	STOP for production	Phase37 refreshed dirty state at 374 status entries under git status --porcelain=v1 -uall: 48 modified tracked files plus 326 untracked paths/files; grouping evidence now covers current docs/contracts, source contracts/C3 gates, WebUI/status/day-complete, PO/single-truth/order-entry/COGS, ads scope, starter packs/phase docs, mutable .claude state, local imports, Phase34/35/36 docs, and evidence pointers	Execution readiness, production preflight, commit/release hygiene	Use Phase37 grouping manifest to review, park, or commit by logical lane only after current CodeCaptain boundary is reviewed; do not run production preflight from dirty state	no	no unless authority conflict	Clean/grouped protected status and planned commit/park split before production preflight; no unrelated user changes reverted
B011_automation_paused_boundary	STOP until owner resumes	All-business automation paused, 27 labels unloaded, cron and protected surfaces quiet	Live automation, scheduler, owner sends	Resume only exact owner-approved labels/groups	yes	no unless final publication/scheduler gate requested	manage_business_automation status/verify and scheduler heartbeat pass for owner-approved scope
B012_may21_drift_pack_critical	STOP for current daily autonomy	Agent20 evidence-local copied-temp drift pack reduced May21 COGS from CRITICAL to WARN using accepted unit COGS evidence: validate_cogs_integrity unresolved_rows=0 and validate_drift_pack_slo strict PASS; Agent21 closed the DIM_SKU_light markdown parser error and proved copied-temp DIM_SKU alignment passes after 10 guarded weight updates on a copied DB only: compared=34, weight_mismatches=0, base_mismatches=11 warning-only; Agent22 narrowed on-delivery residuals from 133 to 1 on copied DB only by applying settlement reconciliation, existing order-to-cashflow translation, post-translation settlement, and accepted parent-unit COGS only for already-authorized compact SKUs; retained row is ACMEWEAR order 929183530 / LINE-31-LS_2XL; Agent24 proved LINE-31-LS_2XL identity and LINE51 parent relation from local bundle/Web_automation evidence, but found no accepted LINE-31-LS copied-temp COGS authority; DIM_SKU source-authority review and default/repeated-run drift autonomy remain unproven	Repeated-run autonomy, owner decision-grade loop	Keep COGS, DIM_SKU, on-delivery, and Agent24 authority-scan proofs visible; next route is either explicit owner copied-temp-only LINE-31-LS unit COGS approval for order 929183530, keep the single row quarantined for CodeCaptain review, or wait for component-level ChildSum COGS; ask CodeCaptain whether DIM_SKU_light_v7 copied-temp sync and the order-to-cashflow plus settlement sequence are acceptable for the default route; do not claim daily autonomy until the default route/repeated-run matrix is proven	yes only if owner can explicitly authorize LINE-31-LS unit COGS; otherwise no	yes before production/final gate or default-route acceptance	validate_drift_pack_slo and on-delivery freeze pass on a reviewed/default route with repeated-run matrix green; copied-temp COGS, DIM_SKU, identity proof, and 133-to-1 on-delivery narrowing are not production daily-autonomy green
