gate_id	command	scope	expected_artifact	pass_label	fail_label	phase
G011_single_truth_alignment	python3 scripts/validate_single_truth_alignment.py --db <copied_db> --input <po_dashboard_json>	dashboard alignment	single truth alignment stdout/json	SINGLE_TRUTH_ALIGNMENT_GREEN	SINGLE_TRUTH_ALIGNMENT_FAIL	Phase 1/2
G012_po_money_gate	python3 scripts/validate_po_money_gate.py --db <copied_db> --inbound-workbook <xlsx> --as-of <YYYY-MM-DD> --json --allow-accepted-shortages-for-copied-temp --po-part-scope-contract <contract_tsv> --unit-cogs-evidence-csv <csv> --single-truth-alignment-input <po_dashboard_json>	PO money and capital-risk guard	PO_AUTHORITY_BLOCKERS.md or stdout json	PO_MONEY_GREEN	PO_MONEY_BLOCKED	Phase 1/2
G013_cashflow_invariants	python3 scripts/validate_cashflow_invariants.py --db <copied_db>	cashflow invariants	cashflow stdout	CASHFLOW_INVARIANTS_GREEN	CASHFLOW_INVARIANTS_FAIL	Phase 1/2
G014_copied_temp_proof	sqlite3 -readonly <copied_db> 'PRAGMA integrity_check;' and full copied-temp validator matrix	copied DB proof	FULL_MVOS_COPIED_TEMP_PROOF_BOARD.md, VALIDATOR_EXIT_MATRIX.tsv, COPIED_DB_BOUNDARY_SHA256.tsv	COPIED_TEMP_GREEN_PROOF	YELLOW_RETAINED_BLOCKER_BOARD_PROOF or RED	Phase 2
G015_production_preflight	./scripts/check_no_db_tracked.sh and sqlite3 -readonly db/app.db 'PRAGMA integrity_check;' and python3 scripts/validate_write_side_gating.py --manifest config/write_side_gating_manifest.yaml --strict and python3 scripts/validate_params.py --strict and <apply-script> --dry-run --json	production boundary dry-run	PRODUCTION_PREFLIGHT_PACKET.md, DRY_RUN_EXPECTED_DIFF.json	PRODUCTION_PREFLIGHT_GREEN	PRODUCTION_PREFLIGHT_BLOCKED	Phase 3
G016_production_apply	ENABLE_<GATE>=1 python3 scripts/<write_script>.py --apply	reviewed serialized production apply only	PRODUCTION_BACKUP_AND_ROLLBACK.md, WRITE_COMMAND_MANIFEST.tsv, post-apply validator matrix	PRODUCTION_APPLY_GREEN	NO_APPLY_AUTHORIZED or APPLY_RED	Phase 3
G017_repeated_run	python3 scripts/validate_mvos_repeated_run.py --days 3 --strict	repeated daily loop	MVOS_REPEATED_RUN_MATRIX.tsv	REPEATED_RUN_GREEN	REPEATED_RUN_FAIL	Phase 4
G018_scheduler_heartbeat	python3 scripts/validate_scheduler_heartbeat.py --strict	scheduler heartbeat	SCHEDULER_HEARTBEAT_REPORT.json	SCHEDULER_HEARTBEAT_GREEN	SCHEDULER_HEARTBEAT_FAIL	Phase 4/5
G019_automation_status	python3 scripts/manage_business_automation.py status and python3 scripts/manage_business_automation.py verify --expect paused --scope all-business	automation pause/resume boundary	AUTOMATION_PAUSE_RESUME_EVIDENCE.md	AUTOMATION_STATUS_GREEN	AUTOMATION_STATUS_BLOCKED	Phase 4/5
G020_owner_publication	python3 scripts/validate_owner_publication_packet.py --strict and python3 scripts/validate_external_write_boundaries.py --strict	owner publication/live authority	OWNER_PUBLICATION_GREEN_PACKET.md, OWNER_VISIBLE_WARNING_BOARD.md	OWNER_PUBLICATION_GREEN	OWNER_PUBLICATION_BLOCKED	Phase 5
